asin,product_name,ppc_owner,seo_owner,brand
B09316R26J,VitalCore White Kidney Beans Extract 5000mg 180 Capsule,Akshay,Tamahra,VitalCore
B07W5JDT32,VitalCore Hemp Patch 20 Patches,Syed,Tamahra,VitalCore
B0B8SVNKVZ,Eco Masters Rose Quartz with Guasha & Vitamin C Serum Device,Srikara,Tamahra,Other
B0CN32XKTL,VitalCore  Detox & Cleanse,Syed,Twinkle,VitalCore
B087C2M9LH,VitalCore Liposomal Vitamin D3 + K2 250ml,Akshay,Tamahra,VitalCore
B0DB21JDJ5,VitalCore Lion's Mane GUMMIES,Akshay,Tamahra,VitalCore
B0CF1MQ97T,VitalCore Creatine Monohydrate Micronized Unflavored 500g Powder,Srikara,Aneesh,VitalCore
B0D6Z1ZSZG,VitalCore Barley Grass,Syed,Tamahra,VitalCore
B07MWC4C5X,VitalCore Organic Bio Haritaki 200g Powder,Sourabh,Aneesh,VitalCore
B07RFRGD5N,Eco Masters Jade Facial Roller with GuaSha & Serum,Srikara,Tamahra,Other
B07HB3ZS79,PawVista Denti-CarePowder180gPowder,Amjad,Twinkle,PawVista
B0CB4M926G,VitalCore L-Arginine 1000mg 180 Tablets,Syed,Twinkle,VitalCore
B09MS281SX,Medora Montmorency Cherry | Germany 6000mg 180 Capsules,Syed,Tamahra,Medora
B0DPJ4Z5WS,VitalCore Ceremonial Matcha tea 100g Powder,Syed,Tamahra,VitalCore
B08KZ26V41,VitalCore Skinny and Detox tea 28 Teabags,Syed,Aneesh,VitalCore
B0DCK8JV7C,VitalCore Collagen Powder,Sourabh,Twinkle,VitalCore
B0CR16N42C,VitalCore liposomale vitamine c liquid sachet,Srikara,Tamahra,VitalCore
B0DZY117M6,VitalCore Magnesium Complex,Srikara,Shirley,VitalCore
B0DZP8H6RT,Pure Himalayan Shilajit 20000mg 180 Capsules,Srikara,Twinkle,Other
