asin,product_name,brand,sku,seo_owner,ppc_owner,in_monthly_pnl,in_prime_day
B07K8RQSYT,VitalCore L-Glutamine,VitalCore,,,,0,0
B07K9X11YV,VitalCore CLA 3000mg 180 Softgels,VitalCore,CC0282,Twinkle,Syed,1,1
B07KB1DVQM,VitalCore HEMP PROTEIN,VitalCore,,,,0,0
B07KC93HR1,VitalCore Flaxseed Oil 1000mg 180 Softgel,VitalCore,,Aneesh,Sourabh,1,0
B07KCBMH6X,VitalCore Aloe Vera with Calcium,VitalCore,,,,0,0
B07KCF3FG2,VitalCore Garlic Oil,VitalCore,,,,0,0
B07KFFXJPF,Medora Cranberry & D-Mannose,Medora,,,,0,0
B07KMCQCZ5,VitalCore Evening Primrose Oil 1000mg 180 Softgel,VitalCore,,Twinkle,Sourabh,1,0
B07KQ819VR,VitalCore L-Arginine HCL,VitalCore,,,,0,0
B07KW4RWQG,PawVista Wormwood Advanced,PawVista,,,,0,0
B07KW57B44,PawVista Itch relief for Cats & Dogs,PawVista,,,,0,0
B07L5JH3NT,"VitalCore Wart, Corn & Verruca Patch 28 Patches",VitalCore,,Aneesh,Sourabh,1,0
B07L8DL871,VitalCore Organic Cinnamon 1000mg,VitalCore,,Tamahra,Syed,0,0
B07L8JW95M,VitalCore Organic Bio Ayurweda Mix,VitalCore,,,,0,0
B07L8LFVG8,VitalCore Beta Alanine,VitalCore,,,,0,0
B07L8LSQDV,VitalCore Organic (Bio) Amla 200g Powder,VitalCore,,Aneesh,Sourabh,1,0
B07L966G1R,VitalCore L-Arginine HCL,VitalCore,,,,0,0
B07L9C38RD,VitalCore Glucosamine and Chondroitin 180 Capsules,VitalCore,CC0288,Aneesh,Akshay,1,1
B07LH6X6VC,VitalCore Vibration Exercise Machine Device,VitalCore,CC0310,Aneesh,Srikara,1,1
B07MBPZXXV,Biotin Gummies,Other,,Twinkle,Syed,1,0
B07MBZCG52,VitalCore Organic Super Greens 200g Powder,VitalCore,,Aneesh,Syed,1,0
B07MBZGW8Q,VitalCore Organic Neem Leaves,VitalCore,,,,1,0
B07MF78YBK,VitalCore Bovine Collagen Peptides (90% Protein),VitalCore,,,,0,0
B07MFLG2ML,VitalCore Royal Jelly,VitalCore,,,,0,0
B07MFLLGC6,VitalCore Organic Super Brahmi Leaves,VitalCore,,,,0,0
B07MFM9M78,VitalCore Organic Bio Vege Protein Mix,VitalCore,,,,0,0
B07MLSTQ1L,VitalCore Forskolin 1000mg 60 Capsules,VitalCore,,Twinkle,Akshay,1,0
B07MLT28ZK,VitalCore BCAA + Glutamine,VitalCore,,,,0,0
B07MSB6S5H,VitalCore BCAA + B6,VitalCore,,,,0,0
B07MWC4C5X,VitalCore Organic Bio Haritaki 200g Powder,VitalCore,,Aneesh,Sourabh,1,0
B07MZ9F2RN,VitalCore Slimming Patch,VitalCore,,,,0,0
B07MZY4P1R,VitalCore CoQ10 200mg 120 Capsules,VitalCore,CC0311,Tamahra,Akshay,0,1
B07N1T2L1Z,Eco Masters Breast Firming,Other,,,,0,0
B07PDFXWCD,VitalCore Krill Oil 1000mg 120 Softgels,VitalCore,CC0240,Tamahra,Syed,0,1
B07PYGZR69,mysmile mysmile Teeth Whitening Gels,Other,,,,0,0
B07Q99SRVG,VitalCore Fucus+,VitalCore,,,,0,0
B07RFRGD5N,Eco Masters Jade Facial Roller with GuaSha & Serum,Other,,Tamahra,Srikara,0,0
B07RM2JTF3,mysmile Teeth Whitening,Other,,,,0,0
B07RWF1ZLK,Eco Masters mysmile Teeth Whitening,Other,,,,0,0
